country_name,population_density,agricultural_land,land_area,armed_forces,birth_rate,capital_city,co2_emissions,cpi,fertility_rate,forested_area,gasoline_price,gdp,infant_mortality,largest_city,life_expectancy,minimum_wage,official_language,out_of_pocket_health_expenditure,population,population_labor_force,tax_revenue,total_tax_rate,unemployment_rate,urban_population,latitude,longitude
Afghanistan,60,0.581,652230,323000,0.3249,Kabul,8672,149.9,4.47,0.021,0.70,19101353833.00,0.479,Kabul,0.645,0.43,Pashto,0.784,38041754,0.489,0.09300000000000000,0.7140000000000000,0.1112,9797273,33.93911,67.709953
Albania,105,0.431,28748,9000,0.11780000000000000,Tirana,4536,119.05,1.62,0.281,1.36,15278077447.00,0.078,Tirana,0.785,1.12,Albanian,0.569,2854191,0.557,0.18600000000000000,0.366,0.1233,1747593,41.153332,20.168331
Algeria,18,0.174,2381741,317000,0.24280000000000000,Algiers,150006,151.36,3.02,0.008,0.28,169988236398.00,0.201,Algiers,0.767,0.95,Arabic,0.281,43053054,0.41200000000000000,0.37200000000000000,0.6610000000000000,0.11700000000000000,31510100,28.033886,1.659626
Angola,26,0.475,1246700,117000,0.4073,Luanda,34693,261.73000000000000,5.52,0.46300000000000000,0.97,94635415870.00,0.516,Luanda,0.608,0.71,Portuguese,0.33400000000000000,31825295,0.775,0.092,0.491,0.0689,21061025,-11.202692,17.873887
Argentina,17,0.5430000000000000,2780400,105000,0.1702,Buenos Aires,201348,232.75,2.26,0.098,1.10,449663446954.00,0.08800000000000000,Buenos Aires,0.765,3.35,Spanish,0.17600000000000000,44938712,0.613,0.10100000000000000,1.063,0.09790000000000000,41339571,-38.416097,-63.616672
Armenia,104,0.589,29743,49000,0.1399,Yerevan,5156,129.18,1.76,0.11700000000000000,0.77,13672802158.00,0.11,Yerevan,0.7490000000000000,0.66,Armenian,0.816,2957731,0.556,0.209,0.226,0.1699,1869848,40.069099,45.038189
Australia,3,0.48200000000000000,7741220,58000,0.126,Canberra,375908,119.8,1.74,0.163,0.93,1392680589329.00,0.031,Sydney,0.8270000000000000,13.59,None,0.196,25766605,0.655,0.23,0.474,0.0527,21844756,-25.274398,133.775136
Azerbaijan,123,0.5770000000000000,86600,82000,0.14,Baku,37620,156.32000000000000,1.73,0.141,0.56,39207000000.00,0.192,Baku,0.7290000000000000,0.47,Azerbaijani language,0.7860000000000000,10023318,0.665,0.13,0.40700000000000000,0.055100000000000000,5616165,40.143105,47.576927
Bangladesh,1265,0.706,148460,221000,0.1818,Dhaka,84246,179.68,2.04,0.11,1.12,302571254131.00,0.251,Dhaka,0.723,0.51,Bengali,0.718,167310838,0.59,0.08800000000000000,0.33400000000000000,0.04190000000000000,60987417,23.684994,90.356331
Barbados,668,0.233,430,1000,0.1065,Bridgetown,1276,134.09,1.62,0.147,1.81,5209000000.00,0.113,Bridgetown,0.7910000000000000,3.13,English,0.452,287025,0.652,0.275,0.35600000000000000,0.1033,89431,13.193887,-59.543198
Belgium,383,0.446,30528,32000,0.10300000000000000,City of Brussels,96889,117.11,1.62,0.226,1.43,529606710418.00,0.029000000000000000,Brussels,0.816,10.31,French,0.17600000000000000,11484055,0.536,0.24,0.5540000000000000,0.0559,11259082,50.503887,4.469936
